RowLabels,y,COL+GPAT_CO_AT+ENV_PAT,COL+GPAT_CO_PR+ENV_PAT,COL+GPAT_CO_PR+TOT,DEV+GPAT_DE_AI+ENV_PAT,DEV+GPAT_DE_AT+ENV_PAT,DEV+GPAT_DE_CAP+ENV_PAT,DEV+GPAT_DE_GBAORD+ENV_PAT,DEV+GPAT_DE_PERC+BUILD,DEV+GPAT_DE_PERC+ENE,DEV+GPAT_DE_PERC+GHG,DEV+GPAT_DE_PERC+GOODS,DEV+GPAT_DE_PERC+ICT,DEV+GPAT_DE_PERC+MAN,DEV+GPAT_DE_PERC+TRA,DEV+GPAT_DE_PERC+WAT,DEV+GPAT_DE_PERC+WAT_WASTE,DIFF+GPAT_DI_AI+ENV_PAT,DIFF+GPAT_DI_AT+ENV_PAT,DIFF+GPAT_DI_PERC+BUILD,DIFF+GPAT_DI_PERC+ENE,DIFF+GPAT_DI_PERC+GHG,DIFF+GPAT_DI_PERC+GOODS,DIFF+GPAT_DI_PERC+ICT,DIFF+GPAT_DI_PERC+MAN,DIFF+GPAT_DI_PERC+TRA,DIFF+GPAT_DI_PERC+WAT,DIFF+GPAT_DI_PERC+WAT_WASTE,RENEW+GPAT_DE_RERD+ENV_PAT
CAN2015,42116.12,8.7,206.8,2428.32,1.71,10.18,15.98,,6.15,14.82,1.64,15.5,7.04,31.63,12.96,4.99,5.28,3.25,10.87,6.48,20.64,1.8,17.11,1.81,29.02,13.58,4.24,5.31,0.78
CAN2016,42165.41,8.74,202.98,2323.56,1.75,9.84,15.41,,6.07,14.44,2.09,12.47,7.12,30.55,13.07,10.1,4.09,3.18,10.33,5.42,18.61,1.79,18.47,1.6,29.98,13.33,5.06,5.72,0.7
CHL2008,17801.29,12.5,2,24,0.05,16.56,0.78,,4.48,8.95,5.24,31.33,0,34.33,0,8.95,6.71,0.13,9.18,2.96,15.76,0.49,21.67,,39.9,1.48,4.43,13.3,
CHL2009,17338.20,27.08,3.12,27.36,0.06,16.35,1.07,,0,36.07,0,14.2,0,32.79,6.56,2.2,8.2,0.01,17.58,,44,,16,,36,,,4,
CHL2010,18161.80,8.96,4.02,43.55,0.06,15.24,1.2,,0,9.65,2.85,18.73,0,42.2,9.02,6.18,11.38,0.01,15.15,,13.04,4.35,21.74,,47.83,,4.35,8.7,
CHL2011,19080.39,10.53,7.04,41.04,0.09,22.45,2.02,0.55,2.63,9.73,0,14.99,1.98,42.35,4.94,2.97,20.42,0.02,17.36,,19.23,,23.08,,38.46,3.85,3.85,11.54,
CHL2012,19902.60,13.39,3,29.12,0.07,19.96,1.57,0.63,3.77,13.81,0,21.34,0,47.28,5.02,7.53,1.26,0.21,17.39,3.01,26.05,1,21.84,,31.66,6.61,4.61,5.21,
CHL2013,20505.96,20.34,8.16,34.22,0.07,19.45,1.59,0.58,3.49,23.26,0,16.28,0,34.88,4.65,1.16,16.28,0.22,15.41,4.45,30.75,1.16,19.92,,32.5,3.87,2.13,5.22,
CHL2014,20647.97,12.03,7.04,39.9,0.07,14.12,1.42,0.52,6.63,19.33,0,36.47,0,35.91,0,0,1.66,0.36,14.24,2.42,34.06,1.28,18.62,1.28,30.87,2.17,2.68,6.63,
CHL2015,20876.33,11.82,1.04,30.8,0.09,17.11,1.75,0.67,2.5,13.75,0,33.75,0,30,5,2.5,12.5,0.35,13.44,3.26,31.34,0.41,17.37,1.22,33.51,1.63,4.21,7.06,
CHL2016,20945.66,12.03,1.14,28.44,0.07,15.67,1.28,,0,18.31,0.93,19.72,0,21.61,0,8.45,30.99,0.22,13.31,6.46,33.96,0.21,23.33,0.63,23.96,1.25,2.5,7.71,
CZE2008,27016.96,11.68,33.12,212.76,0.15,11.71,4.02,0.49,8.9,24.48,0.74,19.04,0,29.04,8.16,1.48,8.16,0.07,9.14,3.03,28.28,,11.11,,42.42,8.08,1.01,6.06,1.2
CZE2009,27504.35,11.23,23.04,182.4,0.13,11.16,3.77,0.39,11.99,23.37,0,12.1,0.73,38.99,3.63,0.36,8.83,0.08,10.77,6.8,23.81,,8.84,,45.58,2.72,,12.24,0.77
CZE2010,27504.35,12.23,29.24,217.93,0.13,13.49,4.27,0.42,6.58,27.55,2.44,9.03,0,36.58,7.57,2.19,8.05,0.08,11.43,1.91,14.01,0.64,5.73,1.27,53.5,5.1,4.46,13.38,0.53
CZE2011,27913.85,12.08,31.16,224.07,0.13,13.03,4.73,0.45,10.18,18.32,0.45,10.45,2.94,35.05,11.98,1.13,9.5,0.06,10.34,4.41,25,,5.88,,42.65,13.97,0.74,7.35,0.46
CZE2012,27651.92,10.72,27.59,282.2,0.12,10.32,4.28,0.44,13.31,35.51,0,7.1,0,20.42,14.79,2.66,6.21,0.07,11.38,3.17,38.89,,4.76,,34.13,5.56,3.17,10.32,0.45
CZE2013,27504.55,10.76,34,334.44,0.15,12.42,5.27,0.51,7.81,15.62,0,16.78,0.29,40.12,11.28,3.47,4.63,0.06,10,6.67,18.52,0.74,18.52,,40.74,4.44,2.96,7.41,0.47
CZE2014,28239.13,10.07,30.03,343.52,0.15,12.29,5.22,0.39,8.69,13.03,1.24,11.17,0,46.33,9.83,7.24,2.48,0.06,10.68,4.03,15.32,0.81,12.1,,50,5.65,1.61,10.48,0.52
CZE2015,29709.55,8.78,41.34,355.2,0.12,8.01,3.75,0.28,3.61,12.65,0.9,15.36,1.81,29.97,25.75,3.61,6.33,0.05,7.81,3.09,15.46,,17.53,,44.33,6.19,3.09,10.31,0.32
CZE2016,30387.55,11.05,43.35,330.67,0.17,12.25,5.27,0.38,8.19,11.97,0,12.6,2.52,38.97,18.81,1.26,5.67,0.05,10,1.94,21.36,,13.59,,44.66,5.83,0.97,11.65,0.88
DEU2008,40242.75,12.79,688.84,6018.06,14.39,12.96,50.76,2.55,6.42,20.75,0.72,10.23,0.87,34.71,21.28,2.74,2.28,8.62,14,5.55,16.16,0.37,6.68,0.86,38.66,27.16,2.65,1.91,6.29
DEU2009,38059.40,13.71,749.7,5772.96,13.87,13.89,54.06,2.35,6.87,23.26,1,9.47,1.12,30.34,22.66,2.91,2.37,7.32,14.78,6.15,19.06,0.52,6.43,0.81,35.65,26.71,2.69,1.98,4.72
DEU2010,39647.96,14.85,866.78,5837.75,13.28,14.46,58.91,2.52,6.54,23.34,0.82,10.06,1.11,29.26,24.61,2.37,1.89,7.15,15.64,6.33,19,0.45,6.94,0.78,33.54,29.17,2.23,1.57,4.95
DEU2011,41084.52,15.01,830.34,5839.08,12.5,14.36,58.37,2.4,6.4,25.3,0.77,10.14,0.96,28,24.18,2.22,2.03,6.67,16.09,5.64,20.53,0.31,6.88,0.64,31.33,30.63,2.48,1.56,4.07
DEU2012,41227.00,14.3,886.8,5890.76,11.43,13.76,54.05,1.97,5.84,23.26,0.67,9.74,1.33,29.52,24.93,2.65,2.05,6.08,15.45,5.53,18.71,0.22,6.88,1.1,31.87,32.08,2.08,1.52,3.25
DEU2013,41325.88,13.2,716.21,6064.23,10.83,13.04,49.83,1.55,5.71,18.18,0.78,11.73,1.21,31.24,25.14,3.69,2.31,5.82,15.06,5.14,14.58,0.39,6.45,1.8,33.85,34.16,2.4,1.25,2.06
DEU2014,42082.89,13.19,846.2,6094.06,10.85,12.55,47.57,1.42,5.36,17.63,0.8,10.28,0.92,33.19,26.71,2.76,2.34,5.79,14.37,4.5,13.38,0.37,6.04,1.02,35.21,36.12,2.17,1.2,1.9
DEU2015,42638.27,13.2,842,6061.95,10.82,11.98,44.47,1.38,5.29,15.5,0.54,11.18,1.1,33.51,27.3,3.66,1.93,6.01,14.21,4.37,10.54,0.27,6.23,1.5,36.29,36.97,2.74,1.1,1.6
DEU2016,43378.80,12.51,636.96,5728.68,10.76,11.25,41.9,1.26,4.35,14.25,0.56,12.03,1.19,33.49,28.89,3.31,1.92,6.03,13.47,4.32,10.76,0.29,7.02,1.06,37.51,35.71,2.29,1.05,1.54
DNK2008,44791.10,13.45,47.46,352.8,1.39,21.08,72.26,2.8,6.32,55.07,0.86,15.35,1.37,16.24,2.58,1.05,1.15,0.73,16.67,6.7,37.68,1.2,17,0.86,27.55,3.86,1.72,3.43,5.81
DNK2009,42372.53,13.05,49.22,360.8,1.19,22.33,68,2.58,10.2,56.66,0.66,15.33,1.23,11.5,2.68,1.14,0.61,0.73,18.44,5.9,41.78,1.26,14.32,0.63,25.41,5.51,2.83,2.36,5.11
DNK2010,42944.19,19.42,81,408.66,1.3,25.86,83.6,2.42,4.6,59.35,0.45,16.45,1.17,11.75,4.12,1.21,0.9,0.71,19.71,6.67,40.57,0.85,15.9,0.62,22.27,8.07,1.94,3.1,4.44
DNK2011,43298.96,23.68,82.44,386.8,1.31,25.43,88.54,2.6,6.21,56.08,0.29,17.97,0.75,12.42,2.69,1.58,2.01,0.74,21.84,6.53,43.82,0.7,14.4,0.98,20.93,6.6,1.97,4.07,4.67
DNK2012,43181.04,20.24,75.03,415.84,1.08,22.67,73.68,2.56,5.2,50.22,0.37,15.55,0.8,18.78,5.17,2.23,1.67,0.56,19.94,5.73,46.34,0.34,15.5,0.42,19.55,5.81,2.36,3.96,4.02
DNK2013,43373.48,17.52,73.48,428.85,0.9,18.72,59.52,1.94,6.24,48.67,0.31,15.53,0.95,20.41,4.78,1.2,1.91,0.48,19.15,5.59,39.02,0.57,14.11,0.76,26.61,7.67,2.37,3.31,2.64
DNK2014,43873.14,18.98,58.8,336.3,0.92,19.51,58.1,2.11,6.57,42.02,0.83,20.85,1.16,20.28,4.73,0.94,2.61,0.37,17.44,4.44,39.83,0.74,14.18,0.99,27.13,7.89,2.22,2.59,3.42
DNK2015,44707.55,13.51,29.96,316.8,0.91,17.88,54.04,2.04,6.8,46.05,0.23,17.93,0.47,18.52,5.74,2.46,1.8,0.34,19.47,5.29,43.29,0.29,14.43,0.57,24.43,7.14,2,2.57,2.74
DNK2016,45598.80,18.51,35.31,242.76,1.2,22.35,67.45,3.96,7.46,50.88,0.5,18.06,0.57,17.16,3.3,0.6,1.47,0.28,21.65,5.29,44.71,0.78,16.08,1.18,22.75,5.1,2.35,1.76,5.43
ESP2008,33466.67,11.6,58.65,703.68,0.92,11.97,5.72,0.25,9.78,39.51,0.92,10.02,0.79,20.3,7.42,6.14,5.13,1.57,11.39,5.97,30.45,0.88,13.12,0.84,29.53,10.99,3.51,4.72,2.56
ESP2009,31914.07,14.57,78.72,630.28,1.08,14.71,7.33,0.32,7.43,40.8,1.04,11.8,1.51,18.86,9.3,4.28,4.96,1.55,12.56,5.89,32.14,0.99,11.58,1.95,28.36,11.06,2.9,5.13,1.7
