RowLabels,y,COL+GPAT_CO_AT+ENV_PAT,COL+GPAT_CO_PR+ENV_PAT,COL+GPAT_CO_PR+TOT,DEV+GPAT_DE_AI+ENV_PAT,DEV+GPAT_DE_AT+ENV_PAT,DEV+GPAT_DE_CAP+ENV_PAT,DEV+GPAT_DE_GBAORD+ENV_PAT,DEV+GPAT_DE_PERC+BUILD,DEV+GPAT_DE_PERC+ENE,DEV+GPAT_DE_PERC+GHG,DEV+GPAT_DE_PERC+GOODS,DEV+GPAT_DE_PERC+ICT,DEV+GPAT_DE_PERC+MAN,DEV+GPAT_DE_PERC+TRA,DEV+GPAT_DE_PERC+WAT,DEV+GPAT_DE_PERC+WAT_WASTE,DIFF+GPAT_DI_AI+ENV_PAT,DIFF+GPAT_DI_AT+ENV_PAT,DIFF+GPAT_DI_PERC+BUILD,DIFF+GPAT_DI_PERC+ENE,DIFF+GPAT_DI_PERC+GHG,DIFF+GPAT_DI_PERC+GOODS,DIFF+GPAT_DI_PERC+ICT,DIFF+GPAT_DI_PERC+MAN,DIFF+GPAT_DI_PERC+TRA,DIFF+GPAT_DI_PERC+WAT,DIFF+GPAT_DI_PERC+WAT_WASTE,RENEW+GPAT_DE_RERD+ENV_PAT
FRA2008,37897.81,12.7,300.74,2797.6,4.4,11.12,20.22,0.89,6.47,16.94,1.95,10.92,1.84,30.71,23.54,4.68,2.95,1.97,13.29,6.87,13.95,1.23,6.38,0.71,38.59,26.27,3.33,2.68,1.82
FRA2009,36612.48,13.99,323.18,2729.22,4.53,12.65,22.86,0.95,8.79,20.56,1.65,11.09,2.78,25.62,22.3,3.92,3.29,1.84,14.26,9.77,18.52,1.35,7.71,1.28,29.14,26.1,2.76,3.38,1.55
FRA2010,37126.40,13.68,338.8,2926.04,4.07,12.61,23.23,0.82,6.92,21.05,1.59,10.99,1.73,25.76,25.23,3.15,3.59,1.76,14.45,8.56,19.18,1.12,7.73,0.62,29.12,27.03,3.13,3.51,2.12
FRA2011,37734.81,14.51,350.49,2760.96,4.27,13.39,25.5,1.05,6.01,22.08,1.86,10.61,1.74,23.2,28.68,2.91,2.91,1.77,15.34,7.13,19.66,1.27,6.99,0.76,26.25,31.44,3.92,2.59,1.83
FRA2012,37649.31,14.94,362.8,2913.12,4.31,13.85,25.99,1.15,6.08,19.75,1.41,9.61,2.66,26.31,27.38,3.37,3.41,1.7,15.81,6.07,18.6,1.04,6.54,1.07,28.64,30.88,4.29,2.87,1.6
FRA2013,37671.13,14.24,318.06,2854.3,4.21,13.11,24.62,0.98,5.98,21.07,1.04,10.13,2.23,26.21,27.25,3.6,2.48,1.56,14.74,5.99,18.38,1,7.35,2.36,28.88,29.41,3.78,2.86,1.33
FRA2014,37853.59,13.2,301.32,2790.7,4.25,12.49,23.66,1.09,5.71,19.43,1.13,10.74,2.13,28.17,24.82,3.86,4.02,1.39,13.51,6.13,18.66,0.97,8.54,1.01,27.91,28.81,4.36,3.62,1.14
FRA2015,38120.68,12.85,274.04,2759.9,4.22,11.87,22.02,0.77,5.45,19,0.74,11.34,1.8,27.53,26.58,4.08,3.48,1.39,13.33,6.08,18.21,0.83,8.1,1.33,28.86,29.26,4.46,2.88,0.88
FRA2016,38410.51,11.35,216.64,2385.2,3.77,10.49,18.66,0.88,4.54,19.85,0.64,10.85,2.24,26.4,28.93,4.21,2.35,1.28,11.78,4.98,16.37,0.58,7.98,1.56,30.8,30.51,4.98,2.26,0.88
GBR2008,37346.73,9.1,221.37,2691,3.45,10.63,15.88,2.1,7.68,25.77,1.52,10.82,4.48,26.95,13.45,6.09,3.24,1.74,11.58,8.72,23.38,1.54,8.86,3.42,28.23,17.17,4.95,3.73,4.27
GBR2009,35371.71,10.86,274.38,2577.12,3.33,11.83,16.71,2.19,9.17,24.04,1.63,11.85,4.55,24.71,14.54,6.33,3.18,1.56,12.01,8.85,21.16,2.3,9.79,3.67,28.61,15.15,5.94,4.53,2.01
GBR2010,35619.16,12.77,344,2910.06,3.19,12.77,18.05,2.26,8.4,25.19,1.37,11.69,5.36,23.35,15.87,4.67,4.1,1.43,12.55,10.09,26.46,1.08,9.09,3.97,24.97,14.99,4.82,4.53,1.21
GBR2011,35887.13,12.29,448.2,3403.12,3.33,13.18,19.62,2.42,6.15,28.98,0.8,10.81,4.61,25.11,14.68,5.04,3.83,1.34,12.07,7.67,24.85,0.6,8.91,7.11,26.58,14.36,6.13,3.8,4
GBR2012,36122.42,11.24,380.64,3385.72,3.01,12.58,17.87,2.23,6.25,23.81,0.97,10.95,5,26.54,18.29,5.09,3.1,1.26,11.71,7.62,23.44,0.7,7.32,5.58,27.13,19.82,5.58,2.81,3.28
GBR2013,36601.41,9.28,296.64,3395.07,3.18,12.01,18.27,1.58,7.38,20.47,1.14,10.67,4.57,27.88,19.44,5.77,2.67,1.19,10.9,7.6,21.67,0.71,9.4,4.66,26.68,20.53,5.64,3.1,1.64
GBR2014,37427.40,10.41,332.16,3324.5,3.2,11.72,17.48,1.59,6.75,20.5,1.43,11.69,8.44,24.39,19.69,4.62,2.47,1.27,11.55,7.86,19.65,0.72,9.71,5.97,26.98,19.92,5.29,3.89,1.97
GBR2015,38052.38,10.4,295.68,3101.76,3.23,11.31,16.48,1.57,7.01,19.88,1.31,11.48,5.44,27.46,18.4,6.31,2.7,1.26,11.47,7.7,19.41,1.07,10.56,3.59,29.25,21.32,5.07,2.02,2.02
GBR2016,38477.46,9.53,233.1,2736.81,3.1,10.72,14.96,,6,17.09,1.51,11.14,4.09,30.65,21.17,5.36,3,1.18,10.81,8.48,15.97,1.02,9.07,3.75,32.37,20.19,5.07,4.09,1
GRC2008,31346.67,4.93,6.05,118.19,0.05,7.41,1.36,0.1,11.32,34.58,0,14.71,1.04,15.72,13.2,3.14,6.29,0.09,13.91,3.13,40.63,,6.25,0.78,28.91,5.47,9.38,5.47,
GRC2009,30220.35,11.54,19.2,127.4,0.08,14.15,2.43,0.42,10.11,37.1,0,8.7,4.21,21.19,18.69,0,0,0.07,14.64,4.35,54.78,,0.87,0.87,21.74,5.22,10.43,1.74,
GRC2010,28752.63,14.73,12.21,89.6,0.08,17.48,2.65,0.75,7.94,38.6,0,10.89,0,16.31,12.54,5.02,8.7,0.07,16.55,10.07,54.36,,8.05,,18.79,1.34,2.01,5.37,5.58
GRC2011,26268.08,16.36,17.15,100.58,0.1,20.14,3.33,0.98,11.02,28.2,0,6.89,1.66,24.53,13.68,12.02,2,0.07,18.4,8.46,51.54,,1.54,0.77,20,4.62,8.46,4.62,4.02
GRC2012,24458.69,8.87,12.22,108.41,0.06,10.9,2,0.38,12.59,33.27,0,17.7,1.37,17.99,15.29,1.8,0,0.05,15.49,4.76,51.19,,3.57,,29.76,4.76,3.57,2.38,
GRC2013,23755.39,8.37,13.2,110.46,0.08,13.94,2.68,0.48,6.18,27.37,0,16.06,6.55,37.06,4.32,0,2.47,0.05,14.88,3.92,39.22,,6.86,0.98,36.27,1.96,3.92,6.86,
GRC2014,24018.44,7.64,11.13,104.5,0.06,11.77,2.01,0.32,13.23,45,,5.82,8.15,8.6,3.31,7.94,7.94,0.04,11.7,9.2,39.08,,6.9,5.75,21.84,1.15,4.6,11.49,
GRC2015,24006.84,10.11,7.03,86.48,0.05,9.52,1.52,0.22,3.08,24.1,,6.16,4.62,39.49,4.09,0,18.47,0.04,13.74,4.44,20,,11.11,2.22,36.67,3.33,2.22,20,
GRC2016,24061.59,11.7,7,80.37,0.07,12.63,2,,21.74,17.17,,15.65,6.8,19.32,6.44,6.44,6.44,0.04,13.8,9.52,25,,9.52,,34.52,3.57,5.95,11.9,
HUN2008,22925.44,8.2,11.1,153.72,0.11,10.49,3.21,0.66,13.03,16.47,0,16.3,1.03,33.61,3.09,6.18,10.29,0.18,10.17,2.82,27.82,1.06,17.25,1.41,32.39,8.45,2.11,6.69,0.56
HUN2009,21481.85,7.14,10.26,177.66,0.13,13.59,4,0.83,12.1,22.48,0,14.4,1.73,29.4,7.78,5.19,6.92,0.19,9.47,3.12,33.43,1.7,16.15,4.53,32.01,2.55,2.27,4.25,1.17
HUN2010,21692.47,11.6,14,198.26,0.1,11.96,3.62,1.24,34.91,21.32,0.93,4.84,3.71,21.32,2.78,1.85,8.34,0.21,11.11,6.12,20.66,0.51,16.58,3.32,36.22,5.87,2.81,7.91,1.05
HUN2011,22122.68,9.28,16.32,248.16,0.1,11.99,3.99,2.1,18.29,12.84,1.45,14.58,3.64,30.29,3.64,0,15.27,0.24,10.82,4.35,21.12,0.83,11.59,6,41.61,4.97,0.83,8.7,0.8
HUN2012,21830.87,9.8,22.08,200.9,0.09,10.7,3.32,1.18,10.58,26.44,0,4.65,3.17,34.9,7.04,3.17,10.05,0.22,9.8,5,20.87,0.65,16.74,6.09,33.04,5.87,2.83,8.91,1.21
HUN2013,22356.90,10.26,19.36,201.63,0.07,8.37,2.58,0.17,9.81,14.01,0,9.89,13.53,34.55,15.41,0,2.8,0.23,12.07,7.37,15.79,1.26,11.79,16.63,30.53,6.95,3.37,6.32,2.42
HUN2014,23370.16,6.95,15.18,247,0.06,7.8,2.31,0.82,7.56,17.64,0,9.07,4.21,28.77,3.78,7.56,21.42,0.15,10.53,2.54,17.03,0.72,12.32,17.75,31.52,6.88,3.26,7.97,3.02
HUN2015,24263.62,7.42,13.26,224.42,0.1,10.54,3.35,0.84,4.83,20.93,2.9,10.63,2.57,32.04,16.43,0,9.66,0.08,11.06,5.29,26.47,,8.24,6.47,32.94,12.35,1.76,6.47,3.14
HUN2016,24880.50,6.23,10.08,177.1,0.06,6.51,2.03,,10.25,11.71,0,19.03,1.46,27.31,15.6,0,14.64,0.04,10.46,5.75,14.94,1.15,13.79,,42.53,3.45,8.05,10.34,0.42
ISL2008,44980.95,0,0,18.06,0,1.14,1.61,0.08,0,0,0,66.67,0,33.33,0,0,0,0,6,,25,,,,75,,,,
ISL2009,41241.79,0,0,17.16,0.01,7.43,14.49,1.01,20.35,38.96,0,20.35,5.09,15.26,0,0,0,0.01,12.5,9.52,38.1,,23.81,,23.81,4.76,,,
ISL2010,39294.41,0,0,26.04,0.01,8.82,13.27,0.91,26.32,26.32,0,26.32,0,0,10.53,0,10.53,0,3.51,16.67,50,,33.33,,,,,,
ISL2011,39644.43,17.39,2,14.03,0.01,5,7.98,0.54,0,52.22,0,13.05,34.73,0,0,0,0,0,15.38,11.11,11.11,,11.11,,44.44,11.11,11.11,,
ISL2012,39889.80,0,0,13,0.01,5.4,9.58,0.57,7.08,13.21,17.65,21.14,7.4,28.22,0,5.29,0,0,17.39,,18.18,9.09,27.27,,36.36,,9.09,,
ISL2013,41343.91,0,0,26.04,0,2.09,3.82,0.22,0,0,0,0,0,33.33,0,66.67,0,0,8.7,,,,,,,,100,,
ISL2014,42024.23,8,1,15,0.01,7.71,13.18,0.77,0,15.8,0,0,0,78.99,5.21,0,0,0,17.86,,12.5,,,,87.5,,,,
ISL2015,43800.15,0,0,11.1,0.01,5.57,9.08,,50,25,0,0,0,0,0,25,0,0,11.76,66.67,,,,,,,33.33,,
ISL2016,46426.84,0,0,14.08,0.02,13.31,18.57,,38.17,21.81,0,32.72,7.31,0,0,0,0,0,33.33,42.86,14.29,,42.86,,,,,,
ISR2008,29383.33,6.83,57.12,574,0.96,10.36,38.98,23.06,4.87,35.16,0,5.8,7.92,15.35,19.89,5.56,5.46,0.56,6.56,6.81,24.18,0.11,16.69,4.43,29.17,5.9,7.72,4.99,
ISR2009,28986.06,6.36,38.8,579.5,0.72,9.67,31.6,17.72,6.06,35.33,0,9.73,6.89,20.1,7.1,8.61,6.19,0.52,7.5,4.84,26.13,2.15,14.95,9.68,26.99,3.76,5.81,5.7,
ISR2010,29950.79,6.67,35.31,657.23,0.62,8.95,30.12,12.52,10.16,42.65,0.33,6.47,5.27,17.87,4.94,8.32,4,0.64,9.36,4.26,28.63,3.73,14.91,5.86,24.37,4.06,7.32,6.86,
ISR2011,30821.89,7.93,81.42,915.53,0.68,10.19,34.15,12.56,6.37,32.09,0.56,7.16,12.47,19.19,7.81,9.06,5.3,0.59,8.92,4.61,37.32,2.01,15.09,1.34,22.45,7.66,4.91,4.61,
ISR2012,31022.61,5.87,79.56,1037.01,0.77,9.97,38.91,14.24,8.62,28.74,1.69,5.53,15.39,17.43,12.13,7.06,3.41,0.48,9.45,5.06,33.03,1.18,15.1,0.76,26.32,8.66,4.16,5.75,
ISR2013,31845.68,5.07,65.28,1072.4,0.58,7.62,28.22,10.56,6.94,24.91,1.06,5.88,13.13,24.52,7.13,12.29,4.15,0.47,10.36,3.86,37.29,0.4,13.16,6.92,23.24,5.04,5.34,4.75,
ISR2014,32546.53,6.19,80.08,1070.27,0.58,7.12,26.29,9.66,9.76,22.56,0.66,13.07,14.75,19.19,7.86,7.17,4.96,0.36,7.58,3.55,27.91,1.22,14.32,6.61,28.52,5.51,5.26,7.1,
ISR2015,32780.38,4.62,63.36,1142,0.6,6.49,25.08,8.71,4.31,20.06,0.69,10,17.96,30.3,1.69,9.18,5.81,0.31,6.88,2.84,25.55,0.26,16.13,3.87,33.81,4.13,6.45,6.97,
ISR2016,33537.15,5.58,77.76,1109.83,0.75,7.4,29.62,,7.75,17.44,1.13,8.3,20.82,23.57,7.1,9.36,4.52,0.25,6.72,3.92,22.76,0.56,16.6,2.43,30.97,4.48,11.57,6.72,
ITA2008,36643.88,11,125,1136.75,1.97,10.36,9.57,0.44,10.48,22.77,0.81,11.21,0.62,35.08,10.01,2.49,6.53,0.57,9.11,10.05,27.02,0.81,7.04,,37.07,9.12,2.31,6.58,1.46
ITA2009,34527.51,11.6,113.82,1214.46,2.07,11.91,11.03,0.7,11.24,26.24,0.55,9.91,1.68,30.12,11.87,3.13,5.28,0.81,10.01,11.74,30.04,0.4,6.72,0.49,32.79,8.58,3.16,6.07,2.32
ITA2010,34979.85,12.37,138.25,1162.46,1.7,10.93,10.28,0.74,11.75,24.4,0.83,11.19,1.31,30.99,11.79,3.56,4.18,0.72,9.84,10.71,27.1,0.56,7.83,0.48,35.65,8.39,4.4,4.88,1.41
ITA2011,35025.78,14.62,232.44,1264.18,1.62,10.98,10.29,0.69,11.79,27.78,0.13,10.31,1.53,28.74,11.72,3.36,4.63,0.67,10.16,9.36,31.44,0.16,7.06,0.33,32.51,10.34,2.79,5.99,1.15
ITA2012,33873.32,13.54,146.07,1078.65,1.68,11.63,10.73,0.77,12.55,23.77,0.85,11.67,2.27,28.14,11.97,2.48,6.31,0.59,10.05,10.3,27.81,0.86,9.18,0.52,32.45,8.93,3.26,6.7,1.07
ITA2013,33128.95,10.91,132.53,1173.2,1.5,10.15,9.32,0.75,9.73,21.76,1.12,11.14,1.14,33.06,12.5,3.41,6.16,0.53,9.39,9.14,22.95,0.28,7.74,3.92,34.98,10.82,3.17,7,0.86
ITA2014,33033.31,12.07,111.52,1013.85,1.59,10.12,9.39,0.74,9.93,15.17,0.42,13.04,1.32,36.1,16.58,2.86,4.58,0.27,8.99,9.88,16.35,0.85,13.29,1.02,36.12,13.29,3.75,5.45,0.83
ITA2015,33245.60,10.51,103.85,1083.24,1.74,10.05,9.66,0.82,9.93,13.77,1.19,14.37,0.59,36.38,14.15,3.95,5.66,0.4,8.89,9.41,16.04,1.21,14.23,0.36,34.5,11.22,4.95,8.08,0.79
ITA2016,33570.72,11.26,133.35,1015.5,1.64,9.11,8.63,,11.88,16.93,0.2,11.05,1.28,38.18,12.79,3.25,4.44,0.37,6.68,9.2,14.72,,9.66,0.46,47.09,9.36,4.29,5.21,0.79
JPN2008,35372.95,9.9,211.5,2491.65,21.66,8.66,48.2,1.38,5.47,17.49,0.52,14.05,4.74,33.4,20.95,1.32,2.05,29.49,8.23,4.49,16.55,0.66,12.49,3.85,36.14,20.2,1.77,3.86,5.01
JPN2009,33452.70,12.35,172.72,2097.54,21.07,9.99,51.69,1.52,5.84,23.09,0.75,14.15,4.43,26.92,21.33,1.46,2.02,27.09,9.07,5,20.76,0.77,12.26,3.71,31.96,20.2,1.95,3.4,11.55
JPN2010,34858.43,14.27,280.5,2359.14,22.58,10.9,62.99,1.9,6.02,26,0.59,12.43,3.99,23.51,24.39,1.32,1.76,26.04,9.67,5.4,22.92,0.7,12.04,3.68,28.45,21.69,1.88,3.23,9.5
JPN2011,34829.95,14.96,306.85,2461.74,23.19,11.44,68.14,1.79,5.83,25.03,0.76,12.43,4.22,22.28,26.35,1.44,1.68,24.9,10.15,5.64,22.96,0.69,11.64,4.03,27.22,22.89,1.94,2.98,2.03
JPN2012,35371.44,13.31,279.3,2517.24,22.21,11.1,66.22,1.79,6.25,22.89,0.71,12.52,4.9,23.53,26.01,1.66,1.52,23.21,10.13,5.99,24.19,0.65,11.93,4.12,26.76,21.68,1.96,2.72,1.84
JPN2013,36109.72,12.43,250.1,2414.82,21.17,10.61,61.62,1.55,5.32,19.55,0.82,11.53,4.16,26.91,28.57,1.59,1.53,20.47,9.64,5.3,21.55,0.66,11.76,4.97,28.13,22.61,2.23,2.8,1.7
JPN2014,36286.19,11.91,191.96,2418.36,21.68,10.32,60.43,1.57,5.05,20.41,0.88,12.41,3.91,28.25,26.14,1.64,1.3,19.02,9.03,5.63,20.95,0.58,13.08,4.45,28.96,21.32,2.33,2.7,1.48
JPN2015,36782.61,11.23,178.8,2388.84,20.98,9.53,55.13,1.62,5.06,19.05,0.56,12.24,3.94,32.25,23.77,1.64,1.48,18.36,8.76,5.94,20.35,0.58,12.45,4.57,30.31,20.85,2.08,2.88,1.83
JPN2016,37070.91,9.38,173.9,2223.66,18.99,8.2,47.57,1.25,4.39,19.26,0.46,12.99,3.1,30.2,26.49,1.58,1.53,17.08,8.08,5.14,19.53,0.57,12.52,3.63,31.53,21.67,2.45,2.96,1.77
KOR2008,28526.49,9.33,248.85,2667.2,6.25,8.03,36.33,0.99,7.23,26.48,0.64,14.31,12.41,24.02,9.31,1.64,3.97,16.52,9.26,5.99,22.39,0.8,13.32,4.48,34.75,9.55,2.37,6.34,3.57
KOR2009,28632.26,11.47,365.58,2655.7,7.79,10.13,49.77,,8.12,29.46,0.69,14.86,11.83,19.96,9.65,2.27,3.16,16.56,11.11,6.53,25.24,0.82,12.39,4.27,32.03,8.6,3.19,6.94,4.18
KOR2010,30370.47,12.85,379.75,2955.6,8.66,11.44,62.69,,11.21,30.99,0.61,13.42,10.31,17.43,12.23,1.34,2.46,16.7,12.13,7.79,27.66,0.62,12.84,4.17,28.46,10.08,2.81,5.57,4.07
KOR2011,31336.49,13.59,382.45,2814.15,8.78,12.15,66.58,,9.92,31.03,0.72,13.57,8.43,18.11,14.57,1.56,2.09,16.91,12.82,7.29,27.43,0.63,13.81,3.9,27.59,11.26,2.56,5.53,4.93
KOR2012,31879.09,13.2,431.55,3268.6,9.14,11.68,69.92,1.7,9.26,28.76,0.86,14.5,10.29,18.16,15.04,1.15,1.98,15.66,12.27,6.77,27.24,0.64,14.16,4.09,27.19,11.71,2.53,5.66,3.61
KOR2013,32616.64,11.44,339.6,2968.25,9.6,10.81,71.23,1.64,7.3,26.64,1.02,14.7,10.2,18.01,18.2,1.39,2.53,14.23,11.23,6.35,24.86,0.72,12.87,5.28,30.05,12.1,2.58,5.18,3.71
KOR2014,33531.88,11.87,335.45,3391.08,10.9,11.17,76.91,1.67,6.77,23.63,0.84,11.77,12.31,19.61,21.33,1.44,2.3,14.49,11.27,5.54,23.44,0.7,13.31,5.32,28.98,15.51,2.48,4.71,3.61
KOR2015,34321.56,10,341.34,3413.76,10.16,9.78,67.19,1.49,6.38,22.08,0.84,11.88,10.84,24.84,19.94,1.51,1.69,13.28,10.06,5.52,21.24,0.72,12.87,4.96,32.19,15.91,2.64,3.95,3.36
KOR2016,35215.83,11.43,333.5,3502.08,11.02,10.67,69.17,,6.33,25.57,0.66,10.88,8.99,23.24,20.79,1.45,2.09,13.99,10.5,5.33,21.62,0.69,13.35,3.72,32.36,14.6,3.16,5.17,3.29
LTU2008,22369.29,16.07,2.07,16.24,0.03,23.18,2.8,,16.22,45.95,0,10.81,0,10.81,5.41,5.41,5.41,0.03,12.96,11.36,36.36,,11.36,,29.55,2.27,4.55,4.55,
LTU2009,19329.81,8.62,1,22.04,0.01,16.61,1.26,,25,50,0,25,0,0,0,0,0,0.03,13.64,6.67,30,,16.67,,38.33,3.33,1.67,3.33,
LTU2010,19920.05,17.65,4.08,22.44,0.02,27.02,2.67,,23.08,28.23,0,2.54,0,30.77,15.38,0,0,0.03,14.23,11.67,28.33,,5,3.33,35,10,,6.67,
LTU2011,21400.71,16.39,5,14.03,0.01,13.12,1.17,,20.83,20.83,0,0,16.67,20.83,0,0,20.83,0.04,16.46,12.22,23.33,1.11,15.56,,32.22,3.33,3.33,8.89,
LTU2012,22495.79,5,1.02,18,0.02,10.66,2.13,,0,50,0,10,0,35,0,0,5,0.03,12.39,1.32,27.63,1.32,17.11,,32.89,1.32,3.95,14.47,
LTU2013,23566.24,12.86,0,8.4,0.02,15.46,2.69,,0,32.16,,19.56,0,39.88,0,0,8.4,0.04,14.47,10,23.64,,14.55,,36.36,3.64,1.82,10,
LTU2014,24707.32,13.27,6.11,28.42,0.02,7.2,2.21,,9.45,55.1,,9.45,0,25.99,0,0,0,0.02,8.6,10.2,32.65,,8.16,,36.73,6.12,2.04,4.08,
LTU2015,25547.17,4.11,2.01,17.52,0.02,20.89,2.39,,0,14.29,,14.29,0,42.86,28.57,0,0,0.02,9.79,7.5,27.5,,15,2.5,30,7.5,2.5,7.5,
LTU2016,26531.33,10.81,4,29.6,0.01,9.9,1.59,,0,10.57,,0,0,89.43,0,0,0,0.01,7.39,,16.13,,6.45,,70.97,,3.23,3.23,
LUX2008,89151.73,9.82,8.03,91.84,0.03,8.87,18.19,0.77,8.11,31.06,0,16.22,0,20.28,12.17,4.06,8.11,0,4.65,,9.09,,36.36,,27.27,,,27.27,
LUX2009,83356.05,12.39,11.06,90.4,0.04,15.2,25.58,0.79,7.41,21.6,0,35.99,0,30.05,2.47,0,2.47,0.02,17.89,,13.33,,46.67,,30,3.33,,6.67,
LUX2010,85455.81,10.4,12.09,116.25,0.03,11.62,24.61,0.91,3.7,11.11,3.7,13.59,0,36.41,14.81,3.7,12.96,0.01,9.92,,20.83,4.17,20.83,,33.33,4.17,4.17,12.5,
LUX2011,85699.10,25.76,56.05,215.26,0.06,17.96,42.21,1.48,6.64,29.08,3.06,16.07,0.77,33.67,7.65,1.53,1.53,0.01,12.31,9.09,31.82,4.55,18.18,,27.27,4.55,,4.55,5.89
LUX2012,83539.00,12.43,21.12,143.37,0.04,13.66,25.28,0.72,5.02,38.5,0,13.4,2.51,25.1,2.91,0,12.55,0.01,8.16,14.29,28.57,4.76,19.05,,28.57,,,4.76,1.77
LUX2013,84724.04,15.75,17,113.03,0.02,8.64,14.14,0.43,0,6.56,0,26.3,0,52.69,6.56,0,7.9,0.01,6.63,10,10,,20,,50,,,10,
LUX2014,86459.21,0,0,97.18,0.04,14.22,25.25,0.82,0,23.07,0,16.94,0,48.45,4.61,4.61,2.31,0.01,7.82,9.68,12.9,,19.35,,45.16,9.68,3.23,,
LUX2015,87906.90,11,9.02,91,0.03,9.39,19.41,1.05,4,23.33,0,10,0,46.34,8.32,2,6,0.02,9.52,5.41,43.24,,13.51,,24.32,8.11,,5.41,
LUX2016,88080.45,12.22,9.02,78.3,0.04,10.96,23.88,1.27,0,16.79,0,11.75,0,58.85,12.61,0,0,0.01,6.02,,11.54,,19.23,,42.31,15.38,3.85,7.69,
LVA2008,20629.36,13.33,1.12,13.65,0.01,6.55,1.15,,0,27.27,0,0,,36.36,0,0,36.36,0.02,14.57,,37.04,,11.11,,37.04,,,14.81,
LVA2009,17876.35,9.46,1.12,16.28,0.03,17.96,4.58,,0,29.85,0,15.59,,46.77,0,0,7.79,0.02,11.21,3.23,38.71,,12.9,,35.48,,,9.68,
LVA2010,17381.99,9.09,1.08,21.12,0,2.93,0.47,,0,0,0,0,,50,0,0,50,0.01,10.71,4,24,,12,,52,,,8,
LVA2011,18714.16,14.69,4.2,27.17,0.01,7.5,1.55,,0,26.67,0,6.67,,60,0,0,6.67,0.02,15.7,,33.33,,3.33,,60,,,3.33,
LVA2012,19700.64,11.52,3.04,26.4,0.01,11.95,2.17,,0,18.18,0,27.27,,36.36,18.18,0,0,0.01,9.52,,28.57,,4.76,,42.86,4.76,,19.05,
LVA2013,20416.75,10.16,1,22.14,0.02,14.52,2.93,,0,44.44,,0,,33.33,0,0,22.22,0.01,8.14,,44,,8,,32,,,16,
LVA2014,21040.38,10.71,4.05,19.32,0.01,14.51,1.48,,0,25,,25,,50,0,,0,0,7.14,,71.43,,14.29,,14.29,,,,
LVA2015,21921.00,8.22,2.04,20.44,0.01,10.28,1.25,,0,0,,42.86,,57.14,0,,0,0.01,9.85,,41.18,,5.88,,41.18,,,11.76,
LVA2016,22638.80,15.91,2.1,20.24,0,0,0,,0,0,,0,,0,0,,0,0.01,14.56,,41.18,,5.88,,41.18,,,11.76,
MEX2008,15781.14,11.32,14.03,156.31,0.13,13.44,0.33,0.04,14.15,19.55,1.97,12.77,3.03,34.39,4.32,5.9,3.93,1.61,10.26,3.97,21.29,2.66,18.67,3.79,34.09,3.54,5.5,6.49,
MEX2009,14727.88,11.11,17.36,141.12,0.08,8.61,0.22,0.03,10.05,29.65,1.92,6.23,0,37.8,8.61,5.74,0,1.64,10.89,3.39,24.62,3.23,16.08,2.88,32.44,4.59,5.63,7.15,
MEX2010,15260.62,13.23,22.33,157.14,0.14,15.2,0.43,0.04,2.85,16.33,2.85,19.82,0.71,40.84,2.38,4.98,9.25,1.61,12,5.39,23.98,2.07,16.36,1.95,30.74,7.22,6.92,5.36,
MEX2011,15600.50,16.25,34.41,177.58,0.13,15.05,0.43,0.03,5.93,14.18,0.93,18.64,0,38.81,6.16,5.58,9.76,1.5,11.64,4.31,23.22,2.02,18.23,2.14,32.62,6.02,4.37,7.07,
MEX2012,15951.06,11,14.25,172.8,0.12,13.12,0.38,0.03,8.53,22.57,1.42,14.22,1.83,22.75,14.46,4.27,9.95,1.32,10.72,4.58,25.03,1.4,17.77,2.1,30.81,6.92,4.18,7.22,
MEX2013,15955.76,10.04,20.68,196.56,0.1,9.58,0.31,0.03,2.69,20.55,4.04,16.83,0,34.69,13.13,3.03,5.05,1.29,10.3,5.13,20.4,1.42,19.37,4.07,30.92,7.1,4.68,6.91,0.84
MEX2014,16194.97,13.09,34.75,244.26,0.15,13.85,0.45,0.03,7.88,16.43,1.39,20.14,1.39,40.28,8.33,2.08,2.08,1.22,9.45,5.46,19.84,1.22,17.53,2.55,35.06,8.26,4.3,5.77,0.12
MEX2015,16521.13,9.47,18.08,262.46,0.12,9.36,0.32,,14.97,12.13,0,17.81,4.13,26.73,15.68,4.28,4.28,1.25,9.37,6.32,20.82,0.76,19.38,3.36,29.81,9.89,3.5,6.17,0.12
MEX2016,16800.44,10.2,19.89,240.87,0.13,9.66,0.35,0.03,2.37,23.75,1.58,11.61,0,38.79,7.65,7.92,6.33,0.98,8.63,5.39,17.84,1.12,19.27,1.78,36.2,8.49,3.36,6.56,0.13
NLD2008,46266.97,10.12,129.8,1026.52,1.42,9.42,24.57,2.62,11.98,29.46,4.08,16.43,4.45,22.88,4.21,3.66,2.84,0.23,10.16,9.48,27.01,1.72,10.06,0.29,36.78,6.03,3.74,4.89,2.58
NLD2009,44414.21,11.31,136,1105.84,1.5,11.81,28.47,2.93,13.19,25.37,3,15.63,3.4,27.47,4.61,3.06,4.27,0.24,10.93,13.46,32.98,0.26,8.97,0.26,30.34,6.07,2.64,5.01,1.98
